|Description|new_summary|entities
1575|↧|The tweet expresses a negative sentiment towards the stock market, suggesting concerns about a significant downturn.|
1576|"MEXICO PRESIDENT SHEINBAUM: ""WE WILL STRENGTHEN COMMUNICATION"" WITH THE US AFTER TRUMP'S COMMENTS ABOUT CARRYING OUT GROUND ATTACKS TO COMBAT DRUG TRAFFICKERS"|Mexico's President Sheinbaum announced plans to strengthen communication with the US following comments from Trump regarding ground attacks to tackle drug trafficking.|
1577|SPOT SILVER  RISES NEARLY 3% TO $79.24/OZ|Spot silver prices have increased almost 3%, reaching $79.24 per ounce, reflecting a bullish trend in the commodity market.|silver
1578|$INTC - INTEL SHARES EXTEND GAINS  LAST UP 8%|Intel shares have increased significantly, rising by 8%.|INTC, Intel
1579|*UMICH PRELIM JAN. CONSUMER SENTIMENT RISES TO 54.0; EST. 53.5|The preliminary Consumer Sentiment index for January has increased to 54.0, surpassing the estimated figure of 53.5.|
1580|🚨 U.S. SUPREME COURT WILL NOT RULE ON FRIDAY IN TRUMP TARIFFS CASE|The U.S. Supreme Court has decided not to make a ruling on the tariffs case associated with Trump this Friday.|
1581|**TRUMP TARGETS CALIFORNIA WILDFIRE REBUILDING DELAYS**  The White House may issue an executive order to speed rebuilding of homes destroyed in last year’s Southern California wildfires  citing slow state and local permitting.  The order would let builders using federal funds self-certify compliance with permits  bypassing local authorities. Fewer than a dozen homes have been rebuilt since the Palisades and Eaton fires killed 31 people and destroyed over 16 000 structures. About 900 homes are currently under construction.  The proposal would also have FEMA review California’s use of other disaster-related federal funds. Trump has not yet signed the order.|Trump is considering an executive order to expedite the rebuilding of homes affected by last year's California wildfires, aiming to streamline permitting processes for builders. This proposal comes amid slow recovery efforts, with few homes rebuilt and many still under construction.|
1582|**SUPREME COURT DOESN’T ISSUE TRUMP TARIFFS RULING FRIDAY**  The US Supreme Court didn’t rule on challenges to President Donald Trump’s tariffs Friday  as the justices issued the first full-scale opinion of their term.  The court could issue more opinions in the next two weeks as the justices have return from their holiday recess.|The US Supreme Court did not issue a ruling on President Donald Trump’s tariffs on Friday, marking a significant decision as the court begins its term.|
1583|RUSSIAN ATTACK HITS TWO FOREIGN-FLAGGED VESSELS IN UKRAINE'S ODESA REGION PORTS  DEPUTY PM SAYS|The Deputy PM reports that a Russian attack has targeted two foreign-flagged vessels in Ukraine's Odesa region ports.|
1584|🚨 *TRUMP POSTED UNPUBLISHED JOBS DATA EARLY ON SOCIAL MEDIA THU.|Trump unexpectedly shared unpublished jobs data on social media, raising concerns about its implications for market transparency.|
1585|**TRUMP ADMIN PREPARES BACKUP PLAN IF TARIFFS STRUCK DOWN**  The Trump administration is ready to quickly reinstate tariffs if the Supreme Court rules against the president’s global levies  National Economic Council Director Kevin Hassett said.  Officials have a backup plan using other legal authorities  including Section 301 and Section 122 of the Trade Act  to restore duties almost immediately. A high-level call discussed options  with US Trade Representative Jamieson Greer expected to lead efforts.  The Supreme Court has not yet ruled on the tariffs imposed under the International Emergency Economic Powers Act  which could affect Trump’s reciprocal duties and fentanyl-related charges.|The Trump administration is preparing a contingency plan to reinstate tariffs if the Supreme Court strikes down existing global levies, according to Kevin Hassett, with discussions led by US Trade Representative Jamieson Greer.|
1586|HASSETT: FED NEEDS TO CUT RATES MORE -FOX|HASSETT emphasizes that the Federal Reserve should implement more rate cuts, as reported by FOX.|
1587|HASSETT: THERE'S A LOT OF WORK ON GETTING RELIABLE BLS NUMBERS|HASSETT highlights ongoing efforts to ensure the reliability of Bureau of Labor Statistics (BLS) data. This emphasizes the importance of accurate economic indicators for market participants.|
1588|**TRUMP SHARES UNRELEASED JOBS DATA ON SOCIAL MEDIA**  President Trump posted a chart on Truth Social Thursday showing private-sector job growth of 654 000  figures not officially released until Friday morning. The post came roughly 12 hours before the December employment report’s public release. The White House has not commented; Trump is usually briefed on these numbers a day in advance.|President Trump shared unreleased private-sector job growth figures, revealing an increase of 654,000 jobs before the official employment report would be made public.|
1589|**US STATE DEPARTMENT TEAM VISITS VENEZUELA**  A U.S. State Department team arrived in Caracas Friday for the first time since Maduro’s ouster to assess reopening the embassy. The team  including Venezuela Affairs Unit members and the acting ambassador to Colombia  is evaluating security and building conditions for a phased return of diplomatic operations.|The U.S. State Department has sent a team to Venezuela to evaluate the conditions for reopening the embassy for the first time since Maduro's ouster. This visit marks a significant step in restoring diplomatic relations between the two countries.|
1590|INDIA'S RELIANCE IN TALKS WITH U.S. GOVERNMENT FOR AUTHORIZATION TO IMPORT VENEZUELAN OIL  SOURCES SAY|Reliance Industries is reportedly in discussions with the U.S. government to obtain authorization for importing Venezuelan oil.|Reliance, oil
1591|**IRAN CLAIMS US AND ISRAEL BACK PROTESTS**  Iranian Foreign Minister Abbas Araghchi said the U.S. and Israel are involved in anti-government protests  seeking to turn peaceful demonstrations into “violence and chaos.” Iran also blamed “terrorist agents” from both countries for inciting unrest amid ongoing tensions.|Iran accuses the U.S. and Israel of inciting violence during anti-government protests, with Foreign Minister Abbas Araghchi pointing to their involvement in escalating tensions.|
1592|🚨 U.S. SUPREME COURT EXPECTED TO ISSUE RULINGS ON WEDNESDAY JANUARY 14|The U.S. Supreme Court is set to announce rulings on January 14, which may have significant implications for legal and political landscapes in the country.|
1593|CITIGROUP EXPECTS FED TO DELIVER 25 BPS RATE CUTS IN MARCH  JULY AND SEPTEMBER EACH VS PRIOR FORECAST OF CUTS IN JANUARY  MARCH AND SEPTEMBER THIS YEAR|CitiGroup anticipates that the Federal Reserve will implement 25 basis point rate cuts in March, July, and September, updating from an earlier forecast that included a cut in January.|CitiGroup
1594|3 US SENATORS CALL ON APPLE AND GOOGLE TO REMOVE X  GROK FROM APP STORES OVER SEXUAL IMAGES -NBC NEWS|Three US senators have urged Apple and Google to remove the app X GROK from their app stores due to concerns over the presence of sexual images, as reported by NBC News.|Apple,Google
1595|BESSENT: IRS WILL FORM TASK FORCE TO INVESTIGATE FRAUD INVOLVING COVID TAX INCENTIVES|Bessent reports that the IRS will establish a task force to investigate fraud related to COVID tax incentives.|
1596|**GREENLAND CONSIDERS MEETING US WITHOUT DENMARK**  Greenland’s foreign minister floated the idea of meeting the U.S. alone  signaling possible U.S. efforts to bypass Denmark. Secretary of State Marco Rubio will meet both Greenlandic and Danish officials next week  the first substantive three-way talks since Trump’s interest in buying Greenland.  Greenlanders argue for more direct dialogue with the U.S.  citing their push for eventual independence  while Denmark retains constitutional control over foreign policy. Tensions have risen after parliamentary disputes highlighted Greenland’s desire for a stronger voice in international negotiations.|Greenland's foreign minister has proposed a meeting with the U.S. without involving Denmark, indicating rising tensions over Greenland's push for greater independence and voice in international matters. Secretary of State Marco Rubio is set to engage with both Greenlandic and Danish officials in what marks the first substantial three-way talks since Trump's interest in acquiring Greenland.|
1597|EU MEMBER STATES CONFIRM APPROVAL OF SIGNING EU-MERCOSUR TRADE AGREEMENT  CYPRUS PRESIDENCY SAYS|EU member states have confirmed their approval to sign the trade agreement with Mercosur, as announced by the Cyprus presidency.|
1598|MORGAN STANLEY EXPECTS US FED TO DELIVER 25 BPS RATE CUTS IN JUNE AND SEPTEMBER EACH VS PRIOR FORECAST OF CUTS IN JANUARY AND APRIL THIS YEAR|Morgan Stanley anticipates the US Federal Reserve will implement 25 basis points rate cuts in June and September, shifting from earlier predictions of cuts in January and April.|Morgan Stanley
1599|TRUMP & LUTNICK MET WITH HOMEBUILDERS SEEKING TO INCREASE CONSTRUCTION|Trump and Lutnick held a meeting with homebuilders in an effort to boost construction activity.|
1600|S&P 500 HITS INTRADAY RECORD HIGH  LAST UP 0.6%|The S&P 500 reached an intraday record high, closing up 0.6%.|S&P 500
1601|MERCOSUR BLOC TO SIGN EU DEAL ON JAN.17 - ARGENTINA FOREIGN MINISTRY|The MERCOSUR bloc will sign a deal with the EU on January 17, according to the Argentine Foreign Ministry.|
1602|**ENERGY ACTIVITY PLUMMETS IN 4Q  MORE CONTRACTION EXPECTED**  Energy activity in the U.S. central region dropped sharply in Q4  the Kansas City Fed reports. The drilling and business index fell to minus 39  its lowest since 2020  while the six-month outlook slid to minus 19  signaling further contraction ahead.|The Kansas City Fed reports a significant drop in energy activity in the U.S. central region during Q4, with the drilling index at its lowest since 2020 and expectations of further contraction indicated by a negative six-month outlook.|
1603|ZELENSKIY: RUSSIA'S ORESHNIK STRIKE WAS 'DEMONSTRATIVELY' CLOSE TO EU BORDERS|Ukrainian President Zelenskiy has reported that Russia's Oreshnik strike occurred alarmingly close to EU borders, indicating rising tensions in the region.|
1604|VENEZUELAN GOV'T SAYS HAS BEGUN EXPLORATORY DIPLOMATIC PHASE WITH THE US  WITH VIEW TO REESTABLISHING DIPLOMATIC PRESENCE|The Venezuelan government has initiated talks with the US aimed at reestablishing diplomatic relations. This marks the beginning of an exploratory phase in their diplomatic efforts.|
1605|FED'S BOSTIC: INFLATION ISSUES ARE STILL ONE OF THE ECONOMY'S MAIN CHALLENGES|Federal Reserve's Bostic emphasizes that inflation remains a significant challenge for the economy.|
1606|FED'S BOSTIC: IT'S VERY IMPORTANT WE GET INFLATION UNDER CONTROL|Fed's Bostic emphasizes the importance of controlling inflation in the economy.|
1607|FED'S BOSTIC: INFLATION IS 'A LOT' ABOVE  THE 2% TARGET|FED official Bostic highlights that inflation remains significantly above the 2% target, indicating continued economic concern.|
1608|VENEZUELA GOV'T SAYS INTERIM PRESIDENT RODRIGUEZ WILL NOT CARRY OUT ANY INT'L TRIPS IN NEAR FUTURE  MUST FOCUS ON DOMESTIC AGENDA|The Venezuelan government announced that Interim President Rodriguez will not undertake any international trips, choosing instead to concentrate on domestic issues.|
1609|TRUMP: LOOK FORWARD TO HAVING A MEETING WITH GUSTAVO PETRO IN WHITE HOUSE  DURING FIRST WEEK OF FEBRUARY|Trump has expressed anticipation for an upcoming meeting with Gustavo Petro at the White House, scheduled for the first week of February.|
1610|WHITE HOUSE OFFICIAL: THERE WAS AN INADVERTENT PUBLIC DISCLOSURE OF AGGREGATE DATA THAT WAS PARTIALLY DERIVED FROM PRE-RELEASED INFORMATION|A White House official announced an inadvertent public disclosure of aggregate data linked to pre-released information, raising concerns about data management and transparency.|
1611|TRUMP: UNITED STATES SEIZED AN OIL TANKER WHICH DEPARTED VENEZUELA WITHOUT OUR APPROVAL|Trump reported that the United States seized an oil tanker that left Venezuela without authorization, highlighting geopolitical tensions regarding oil shipments.|oil
1612|TRUMP SAYS WILL MAKE DECISION ABOUT WHICH OIL COMPANIES WILL GO INTO VENEZUELA|Trump indicated that he will determine which oil companies will be involved in Venezuela, likely impacting the oil sector significantly.|oil companies, oil
1613|TRUMP: 30 MILLION BARRELS OF OIL WAS GIVEN TO U.S. YESTERDAY BY VENEZUELA|Former President Trump announced that Venezuela has delivered 30 million barrels of oil to the U.S., impacting oil availability and geopolitical relations.|oil
1614|TRUMP: GETTING ALONG EXTREMELY WELL WITH PEOPLE OF VENEZUELA|Trump expresses positive relations with the people of Venezuela, indicating a potential improvement in diplomatic relations.|
1615|TRUMP SAYS OIL COMPANIES WILL DEAL WITH U.S. DIRECTLY  NOT VENEZUELA|Trump announced that oil companies will engage directly with the U.S. instead of Venezuela, impacting diplomatic and economic relations.|oil companies, oil
1616|TRUMP: $4B WORTH OF VENEZUELAN OIL IS ON WAY TO US|Trump announced that a shipment valued at $4 billion worth of Venezuelan oil is en route to the United States.|$4B, oil
1617|TRUMP: NOT LOOKING BACK AT HOW MUCH OIL COMPANIES LOST IN PAST  TRUMP TELLS OIL COMPANIES THEY'LL START WITH 'EVEN PLATE'|Trump addresses oil companies, stating they will start with an 'even plate' despite their past losses. This implies a potential new beginning or reprieve for the sector.|oil companies, oil
1618|TRUMP: NOBODY REALLY KNOWS WHAT WILL HAPPEN WITH CUBA|President Trump expressed uncertainty regarding the future of Cuba.|
1619|TRUMP: CAPTURING PUTIN NOT NECESSARY  U.S. President Donald Trump said Friday that he does not believe capturing Russian President Vladimir Putin would be necessary  responding to questions about whether he would take actions against Russia similar to those taken in Venezuela.|U.S. President Donald Trump stated that capturing Russian President Vladimir Putin is unnecessary, in response to questions about possible actions against Russia similar to those taken in Venezuela.|
1620|TRUMP SAYS VENEZUELA SEEMS TO BE AN ALLY|Trump mentioned that Venezuela appears to be an ally, which may impact geopolitical dynamics in the region.|
1621|*TRUMP: IRAN'S IN BIG TROUBLE  PEOPLE TAKING OVER CITIES  TRUMP: WATCHING IRAN SITUATION CAREFULLY  WILL GET INVOLVED WHEN THEY START KILLING PEOPLE  NOT NECESSARILY BOOTS ON THE GROUND|Former President Trump has expressed concern over the unrest in Iran, indicating potential U.S. involvement if violence escalates.|
1622|TRUMP SAYS U.S. WILL GET INVOLVED IF IRAN STARTED KILLING PEOPLE  TRUMP: THAT DOESN'T MEAN BOOTS ON THE GROUND|Donald Trump stated that the U.S. would intervene if Iran began harming individuals, clarifying that this does not imply direct military deployment.|
1623|TRUMP SAYS MACHADO COMING TO WASHIGNTON EITHER TUESDAY OR WEDNESDAY|Trump announced that Machado will be visiting Washington on either Tuesday or Wednesday, indicating a possible significant engagement ahead.|
1624|TRUMP SAYS MACHADO MAY BE INVOLVED WITH SO ASPECT OF RUNNING VENEZUELA|Trump suggests that Machado could play a role in the administration of Venezuela, indicating potential political shifts in the country.|
1625|UNOFFICIALLY  FOR THE WEEK  THE S&P 500 GAINED 1.57%  THE NASDAQ ROSE 1.88%  AND THE DOW CLIMBED 2.32%|The S&P 500 gained 1.57%, the NASDAQ rose by 1.88%, and the DOW climbed 2.32% for the week, indicating positive market performance.|
1626|INTEL SHARES CLOSE HIGHER BY 11% FOR BEST DAY SINCE SEPTEMBER|Intel shares increased by 11%, marking the company's best performance since September.|INTC, Intel
1627|IRAN LETTER TO UN SECURITY COUNCIL: US TO BLAME FOR 'TRANSFORMATION OF PEACEFUL PROTESTS INTO VIOLENT  SUBVERSIVE ACTS AND WIDESPREAD VANDALISM'|Iran has addressed the UN Security Council, accusing the United States of instigating the transformation of peaceful protests into violent subversive acts and widespread vandalism.|
1628|TRUMP: NOT TALKING ABOUT MONEY FOR GREENLAND YET|Trump has stated that he is not currently discussing financial matters related to Greenland.|
1629|Trump: We're not talking about money for Greenland yet. We'll do something on Greenland whether they like or not.|Trump indicated that discussions regarding financial support for Greenland are not yet on the table, but suggested that actions will be taken regardless of local preferences.|
1630|TRUMP: WOULD LIKE TO DO A DEAL ON DENMARK|Trump expressed interest in negotiating a deal concerning Denmark, potentially impacting diplomatic and economic relations.|
1631|TRUMP ON GREENLAND: WE'LL MAKE A DEAL THE EASY OR HARD WAY|Trump has indicated a willingness to negotiate a potential deal regarding Greenland, suggesting flexibility in approach.|
1632|TRUMP: ON JAN. 30 MAY HAVE ANOTHER GOVT SHUTDOWN  WE'LL SEE|Former President Trump hinted at the possibility of another government shutdown on January 30, suggesting potential political volatility.|
1633|TRUMP ON POSTING DATA EARLY: THEY GAVE ME SOME NUMBERS  WHEN PEOPLE GIVE ME THINGS I POST THEM|Former President Trump commented on his practice of sharing data early, indicating he posts numbers given to him by others.|
1634|*TRUMP: I'M A FAN OF DENMARK BUT THEY DON'T OWN GREENLAND|Trump expresses admiration for Denmark while clarifying that it does not own Greenland.|
1635|*TRUMP: IRAN'S IN BIG TROUBLE|Former President Trump expressed that Iran is facing significant challenges.|
1636|TRUMP TO XI: WE ARE OPEN FOR BUSINESS IN US  VENEZUELA|Trump has indicated to Xi that the US is open for business with Venezuela, signaling potential trade or investment opportunities.|
1637|TRUMP SAYS U.S. WILL TAKE GREENLAND BY “EASY OR HARD” MEANS  President Donald Trump said the United States will acquire Greenland either through negotiation or by force. Speaking to oil and gas executives  he argued that U.S. control is necessary to prevent Russia or China from gaining influence in the region. Trump added that while he respects Denmark  it should not own Greenland based solely on historical claims.|President Donald Trump asserts that the U.S. will acquire Greenland by negotiation or force, deeming it essential to thwart Russian and Chinese influence in the region, while expressing respect for Denmark.|
1638|U.S. SUPREME COURT TO WEIGH FEDERAL COMMUNICATIONS COMMISSION'S AUTHORITY TO FINE WIRELESS CARRIERS FOR SHARING CUSTOMER DATA WITHOUT CONSENT|The U.S. Supreme Court is set to review the Federal Communications Commission's authority to impose fines on wireless carriers for unauthorized sharing of customer data.|
1639|COLOMBIAN FUGITIVE REBEL LEADER CALLS FOR UNITY WITH OTHER GUERRILLA GROUPS TO FACE U.S. THREAT|A Colombian fugitive rebel leader has called for alliance with other guerrilla groups in response to perceived threats from the U.S.|
1640|TRUMP: WILL NO LONGER LET CREDIT CARD COMPANIES TO CHARGE 20-30% INTEREST RATES  TRUMP: JAN 20 WILL CALL FOR ONE YEAR CAP OF CC INTEREST RATES TO 10%|Donald Trump announced plans to propose a one-year cap on credit card interest rates to 10%, reducing the current rates of 20-30%. This policy aims to alleviate financial burdens on consumers.|
1641|NASDAQ-WALMART INC. WILL REPLACE ASTRAZENECA PLC IN NASDAQ-100 INDEX EFFECTIVE JANUARY 20  2026|Walmart Inc. will replace AstraZeneca PLC in the NASDAQ-100 Index, effective January 20, 2026.|Walmart Inc.,AstraZeneca PLC, NASDAQ,WMT,AZN
1642|"BILL ACKMAN: TRUMP'S CALL FOR ONE YEAR CAP ON CREDIT CARD INTEREST RATES AT 10% ""IS A MISTAKE""  BILL ACKMAN: WITHOUT BEING ABLE TO CHARGE RATES ADEQUATE ENOUGH TO COVER LOSSES  EARN ADEQUATE RETURN ON EQUITY  CREDIT CARD LENDERS WILL CANCEL CARDS FOR CONSUMERS"|Billionaire investor Bill Ackman criticized former President Trump's proposal to cap credit card interest rates at 10%, arguing that it could lead to lenders cancelling cards for consumers due to insufficient returns.|
1643|EARTHQUAKE OF MAGNITUDE 6.79 STRIKES TALAUD ISLANDS  INDONESIA - GFZ|A magnitude 6.79 earthquake struck the Talaud Islands in Indonesia, as reported by GFZ.|
1644|WHITE HOUSE: TRUMP SIGNS EXECUTIVE ORDER DECLARING NATIONAL EMERGENCY TO SAFEGUARD VENEZUELAN OIL REVENUE HELD IN U.S. TREASURY ACCOUNTS|President Trump has signed an executive order declaring a national emergency to protect Venezuelan oil revenue that is stored in U.S. Treasury accounts.|Oil
1645|MINNEAPOLIS MAYOR FREY: APPROXIMATELY 29 ARRESTS MADE DURING MINNEAPOLIS PROTESTS OVERNIGHT  MINNEAPOLIS POLICE CHIEF: ONE POLICE OFFICER INJURED DURING PROTEST RESPONSE|Mayor Frey reported approximately 29 arrests made during overnight protests in Minneapolis, where one police officer was injured in the response.|
1646|IRAN'S REVOLUTIONARY GUARDS ARREST FOREIGN NATIONAL FOR SPYING FOR ISRAEL  TASNIM NEWS AGENCY REPORTS|Iran's Revolutionary Guards have arrested a foreign national on charges of espionage for Israel, according to reports from Tasnim News Agency.|
1647|TRUMP SAYS U.S. READY TO HELP AS IRAN “LOOKS AT FREEDOM”|Trump has expressed that the U.S. is prepared to assist Iran as the country seeks freedom.|
1648|**TRUMP ADMINISTRATION DISCUSSES POSSIBLE IRAN STRIKE OPTIONS**  The Trump administration has held early-stage discussions on potential military strike scenarios involving Iran  The Wall Street Journal reported. The talks reportedly covered options ranging from limited actions to broader air operations against Iranian military targets.  Officials said the discussions were routine contingency planning  with no decision made and no signs of imminent military action. The report comes as President Donald Trump said Iran is moving toward “freedom” and that the United States is ready to help.|The Trump administration is in early discussions about potential military strike options related to Iran, according to The Wall Street Journal. Despite covering various scenarios, officials noted that these talks are routine and no immediate actions are planned.|
1649|BESSENT: CHEVRON HAS BEEN IN VENEZUELA A LONG TIME  EXPECT ITS COMMITMENT TO INCREASE GREATLY|Bessent indicates that Chevron has a long-standing presence in Venezuela and anticipates significant growth in its commitment to the region.|Chevron
1650|BESSENT SAYS U.S. MIGHT REMOVE MORE SANCTIONS ON VENEZUELA NEXT WEEK -REUTERS INTERVIEW|Bessent stated in a Reuters interview that the U.S. may remove additional sanctions on Venezuela next week.|
1651|BESSENT: WE EXPECT PRIVATE COMPANIES TO COME INTO VENEZUELA QUICKLY  U.S. EXPORT-IMPORT BANK TO PLAY A ROLE|Bessent indicates that private companies are expected to enter Venezuela swiftly, with involvement from the U.S. Export-Import Bank.|
1652|MADURO SAYS HE IS 'DOING WELL' IN US JAIL: SON|Maduro's son claims that Maduro is faring well while incarcerated in a US jail, potentially influencing public perception of his situation.|
1653|US CITIZENS TOLD TO LEAVE VENEZUELA “IMMEDIATELY”  The United States has urged all its citizens to leave Venezuela immediately due to serious security risks. The US embassy warns that armed militias  known as colectivos  are setting up roadblocks and may search vehicles for signs of support for the United States.  Americans still in the country are advised to remain vigilant and avoid road travel. The warning comes amid heightened tensions between Washington and Caracas following the capture of President Nicolás Maduro  although Venezuelan authorities have signaled openness to dialogue and the US has paused plans for a second strike.|The US has issued an immediate travel warning for its citizens in Venezuela, citing safety concerns amid escalating tensions and the presence of armed militias. Despite these risks, Venezuelan authorities have hinted at a willingness for dialogue.|
1654|TRUMP SAYS VENEZUELA IS RELEASING POLITICAL PRISONERS  Former President Donald Trump said Venezuela has begun releasing political prisoners on a large scale. He credited the United States for forcing the action and warned that those freed should not forget the role played by the US  implying consequences if they do.|Donald Trump announced that Venezuela is releasing political prisoners, attributing this action to pressure from the United States. He cautioned those released to remember the US's influence in this development.|
1655|*TRUMP SAYS US CLOSELY MONITORING IRAN  MULLING POSSIBLE OPTIONS|Trump indicates that the US is closely monitoring the situation with Iran and is considering possible actions.|
1656|TRUMP: WORKING WELL WITH VENEZUELA'S LEADERSHIP  IT'S WORKING OUT WELL  WHITE HOUSE: I DIDN'T LIKE EXXON'S RESPONSE  WHITE HOUSE: MIGHT KEEP EXXON OUT|Trump expresses a positive view on relations with Venezuela's leadership but criticizes Exxon's response, suggesting potential ramifications for the company.|Exxon, XOM
1657|TRUMP: WE MAY GET INTERNET GOING  WILL SPEAK TO MUSK|Trump mentioned the potential for advancing internet initiatives and indicated that he will be speaking with Musk regarding this matter.|
1658|POWELL SAYS GRAND JURY SUBPOENAS WERE SERVED ON FRIDAY|Jerome Powell announced that grand jury subpoenas were served on Friday, indicating potential legal scrutiny.|
1659|FED'S POWELL IN STATEMENT SAYS JUSTICE DEPARTMENT ON FRIDAY THREATENED CRIMINAL INDICTMENT RELATED TO HIS SENATE TESTIMONY LAST JUNE|Federal Reserve Chair Jerome Powell disclosed that the Justice Department threatened him with a criminal indictment concerning his Senate testimony from last June.|
1660|POWELL SAYS NEW THREAT IS NOT ABOUT HIS TESTIMONY OR THE RENOVATION PROJECT  BUT A PRETEXT|Jerome Powell indicates that the current threat discussed is not related to his testimony or the renovation project, but rather a pretext for other underlying issues.|
1661|POWELL SAYS THREAT OF CRIMINAL CHARGES IS A CONSEQUENCE OF FED'S SETTING INTEREST RATES BASED ON ITS ASSESSMENT OF THE PUBLIC INTEREST RATHER THAN THE PRESIDENT'S PREFERENCES|Federal Reserve Chair Powell indicates that the potential for criminal charges stems from the Fed's approach to interest rates, prioritizing public interest over presidential preferences.|
1662|*POWELL: DOJ SERVED FED WITH SUBPOENAS  THREATENING INDICTMENT|Jerome Powell has announced that the Department of Justice has served the Federal Reserve with subpoenas, potentially leading to an indictment.|
1663|*POWELL: THIS IS ABOUT WHETHER FED CAN SET RATES INDEPENDENTLY|Jerome Powell emphasized the importance of the Federal Reserve's ability to set interest rates independently.|
1664|TRUMP: U.S. CONSIDERS STRONG OPTIONS ON IRAN  U.S. President Donald Trump said the United States is closely monitoring the anti-government protests in Iran and is considering strong response options.|President Donald Trump announced that the U.S. is closely watching the anti-government protests in Iran and is exploring strong response options.|
1665|SPOT SILVER RISES 3% TO $82.36/OZ|Spot silver prices increased by 3%, reaching $82.36 per ounce.|silver
1666|S&P 500 EMINIS FALL 0.3%  NASDAQ FUTURES DOWN 0.5%|The S&P 500 E-minis have decreased by 0.3% while NASDAQ futures fell by 0.5%, indicating a negative trend in market futures.|
1667|POWELL SAYS SUBPOENAS ARE RETALIATION FOR FED POLICY  Federal Reserve Chair Jerome Powell said the Justice Department issued grand jury subpoenas threatening criminal charges  which he dismissed as unrelated to his congressional testimony or Fed renovations. Powell said the action was retaliation for the Fed setting interest rates independently of the president’s preferences.|Federal Reserve Chair Jerome Powell criticized the Justice Department's subpoenas as a retaliatory act against the Fed's independent interest rate policy. He emphasized that the subpoenas were not connected to his testimony or ongoing renovations at the Fed.|
1668|SPOT GOLD SURPASSES $4 600 PER OUNCE FOR THE FIRST TIME|Spot gold has surpassed $4,600 per ounce for the first time, signaling a milestone in the gold market.|gold
1669|BILL ACKMAN SAYS US TO OVERCOME DEBT THROUGH GROWTH  NOT THROUGH PAYING OFF DEBT|Bill Ackman believes that the US can address its debt issues by focusing on economic growth rather than attempting to pay off the debt directly.|
1670|"BILL ACKMAN SAYS TRUMP'S GREATEST THREAT DURING MIDTERMS IS ""ISSUE OF AFFORDABILITY"""|Bill Ackman highlighted that Donald Trump's primary challenge in the upcoming midterms revolves around the issue of affordability.|
1671|TRUMP: MIGHT VETO EXTENSION OF HEALTH INSURANCE SUBSIDIES|Former President Trump has indicated that he may veto the proposed extension of health insurance subsidies, which could impact the health insurance sector.|
1672|TRUMP: IRAN CALLED TO NEGOTIATE YESTERDAY ON NUCLEAR  WE MAY MEET THEM|Trump announced that Iran called for negotiations regarding their nuclear program, suggesting a potential meeting may occur.|
1673|Trump posts photo of him as president of Venezuela|Trump shares a photo depicting himself as the president of Venezuela, provoking curiosity about his intentions or the context behind the image.|
1674|TRUMP SAYS HE IS IN CONTACT WITH IRANIAN OPPOSITION LEADERS|Trump announced that he is engaging with Iranian opposition leaders, indicating potential shifts in U.S.-Iran relations.|
1675|TRUMP: CREDIT CARD COMPANIES WILL BE IN VIOLATION OF LAW IF THEY DON’T COMPLY BY JAN 20 ON INTEREST RATE CAP|Donald Trump has stated that credit card companies could face legal violations if they do not adhere to an interest rate cap by January 20.|
1676|SEN. TILLIS TO BLOCK FED NOMINATIONS PENDING POWELL INVESTIGATION  Senator Thom Tillis of North Carolina said he will oppose confirmation of any Federal Reserve nominee  including the next Fed chair  until the investigation into current Chair Jerome Powell is resolved.|Senator Thom Tillis of North Carolina plans to block any Federal Reserve nominations, including the next chair, until the investigation into current Chair Jerome Powell is concluded.|
1677|*TRUMP SAYS DOJ SUBPOENAS NOTHING TO DO WITH INTEREST RATES: NBC  *TRUMP DENIES INVOLVEMENT IN DOJ'S FED SUBPOENAS: NBC|Trump clarifies that DOJ subpoenas are unrelated to interest rates, asserting no involvement with them, as reported by NBC.|
1678|US  DENMARK TO DISCUSS GREENLAND   US and Danish officials will meet on Wednesday to discuss Greenland  CBS reported  citing diplomatic sources. The talks follow remarks by US Secretary of State Marco Rubio that discussions would take place next week.  The meeting comes amid heightened rhetoric from Washington  with President Donald Trump suggesting the United States could acquire Greenland by force if necessary. Reports also say Trump asked the military to prepare invasion plans  though senior officers resisted.|U.S. and Danish officials are set to meet to discuss Greenland, following indications from Secretary of State Marco Rubio about upcoming talks. This occurs amidst controversial remarks from President Trump regarding potential military action for acquiring Greenland.|
1679|TRUMP CRITICIZES CREDIT CARD FIRMS  CONFIRMS 10% CAP   US President Donald Trump said he would impose a one-year cap on credit card interest rates at 10%  accusing credit card companies of abusing consumers.  He noted that some rates reach nearly 30% and said many people are unaware of how high they are. Speaking aboard Air Force One  Trump said he would allow the cap to take effect.|U.S. President Donald Trump announced a one-year cap on credit card interest rates at 10%, criticizing credit card companies for overcharging consumers with rates as high as 30%. This move aims to protect consumers who may not be aware of these excessive rates.|
1680|GOLDMAN SACHS EXPECTS US FED TO DELIVER 25 BPS RATE CUTS IN JUNE AND SEPTEMBER EACH VS PRIOR FORECAST OF CUTS IN MARCH AND JUNE THIS YEAR|Goldman Sachs forecasts that the US Federal Reserve will implement 25 basis points rate cuts in June and September, adjusting from earlier predictions that included a cut in March.|Goldman Sachs
